"id","name","liftType","completed"
6868,"Vizelle","GONDOLA",""
7308,"STADE","SURFACE_LIFT",""
6976,"Boismint.","DETACHABLE_CHAIRLIFT",""
6975,"Caron","GONDOLA",""
6974,"Cime Caron","TRAM",""
6977,"Moutière.","DETACHABLE_CHAIRLIFT",""
7027,"3 Vallées","FUNITEL",""
7029,"3 Vallées.","DETACHABLE_CHAIRLIFT",""
7028,"Cairn.","GONDOLA",""
7032,"Castor Pollux","MAGIC_CARPET",""
7030,"Pionniers","DETACHABLE_CHAIRLIFT",""
7031,"Plein Sud.","DETACHABLE_CHAIRLIFT",""
7071,"Grand Fond","FUNITEL",""
7073,"Moraine.","GONDOLA",""
7076,"Plateau.","SURFACE_LIFT",""
7074,"Portette.","DETACHABLE_CHAIRLIFT",""
7072,"Thorens","FUNITEL",""
71837,"Face Nord","GONDOLA",""
7111,"Adret","DETACHABLE_CHAIRLIFT",""
7112,"Altiport","DETACHABLE_CHAIRLIFT",""
7107,"Rhodos 1","GONDOLA",""
7109,"Saulire Express 1","GONDOLA",""
7110,"Saulire Express 2","GONDOLA",""
