id,name,slopeLevel,completed
9061,Violette Bas,GREEN,
7277,Violette Haut,GREEN,
6969,Armoise,BLACK,
6970,Arolle,BLACK,
6964,Boismint,RED,
6965,Cime,RED,
6971,Combe de Caron,BLACK,
6972,Cristaux,BLACK,
6959,Gentiane,BLUE,
6960,Lagopède,BLUE,
6963,Tétras,BLUE,
7014,Accès UCPA,BLUE,
7015,Bd Goitschel,BLUE,
7013,Voie Lactée,GREEN,
6746,Moretta Blanche,RED,
7282,BD Guri,BLUE,
7080,Lory,BLUE,
7081,Peyron,BLUE,
6894,Belvédère-Granges,GREEN,
6878,Boix Vives,RED,
6898,Cèpes,BLUE,
6886,Gravelles,BLUE,
6884,Roc Mugnier,RED,
6764,Marquetty,RED,
6683,Coqs,RED,
6684,Dahu,RED,
6685,Fouine,RED,
6686,Julie,RED,
6678,Little Himalaya,GREEN,
6681,Martre,BLUE,
6687,Pouillard,RED,
6670,Lac de la Chambre Bleue,BLUE,
6671,Lac de la Chambre Rouge,RED,
6672,Venturon,RED,
7195,Liberty Ride Masse,BLACK,
7078,Croix d'Antide,GREEN,
7079,Gentianes,BLUE,
7082,Bouchet,RED,
7084,Mauriennaise,RED,
7085,Combe de Rosaël,BLACK,
7083,Coraia,RED,
6958,Cumin Haut,BLUE,
6740,Dou des Lanches,BLACK,
6745,Folyères,BLUE,
6741,Lanches,RED,
6744,Plan Fontaine,GREEN,
6747,Zen Tania G2,GREEN,
6956,Bd Téléphérique,BLUE,
6957,Blanchot,BLUE,
6962,Ours,BLUE,
6968,Plan de l'Eau,RED,
7016,Cairn,BLUE,
7024,Chardons,RED,
7025,Chasse,RED,
7017,Corniche,RED,
7026,Marielle Goitschel,BLACK,
7018,Plein Sud,BLUE,
7019,Pluviomètre,BLUE,
7020,Retour Sud,BLUE,
7021,Traversée Montaulever VT,BLUE,
7022,Val Tho,BLUE,
7023,Voie de la Boucle,BLUE,
7061,Asters,RED,
7048,Combe de Thorens,GREEN,
7063,Falaise,RED,
7064,Médaille,RED,
7058,Niverolle,BLUE,
7059,Plateau,BLUE,
7065,Portette,RED,
7066,Rhodos,RED,
7067,Variante,RED,
6742,Arolles,BLUE,
6743,Bouc Blanc,RED,
6751,Jardin d'enfants Tania,GREEN,
7092,Forêt,GREEN,
7100,Marmotte,BLUE,
7099,Lapin,BLUE,
6739,Col de la Loze,BLUE,
7101,Pic Bleu,BLUE,
7102,Renardeau,BLUE,
7135,Daguet,RED,
7129,Lièvre,BLUE,
7130,Raffort,BLUE,
7133,Buse,RED,
7121,Escargot,GREEN,
7127,Gelinotte,BLUE,
7128,Grive,BLUE,
7137,Gypaète,RED,
6966,Col de l'Audzin,RED,
6967,Haute Combe,RED,
7050,Bd Rosaël,BLUE,
7051,Chamois,BLUE,
7052,Chocard,BLUE,
7053,Eterlou,BLUE,
71250,Face Nord,BLUE,
7049,Flocon,GREEN,
7054,Fond Bas,BLUE,
7055,Fond Haut,BLUE,
7056,Génépi,BLUE,
7057,Moraine,BLUE,
7293,Allamands,RED,
7279,Allée,RED,
7294,Becca,RED,
7295,Grandes Combes,RED,
7292,Preyerand Haut,BLUE,
7140,Ecureuil,BLACK,
7141,Face,BLACK,
7142,Stade Corbey,BLACK,
7248,Bd Loy,BLUE,
7249,Biolley,BLUE,
6817,Déviation 1550,RED,
6816,Dou du Midi,RED,
6814,Jantzen,RED,
6815,Loze,RED,
6822,Murette,RED,
7103,Chamois,RED,
6818,Petit Dou,RED,
11162,Family Park,YELLOW,
7003,SkiCross Jean Fred Chapuis,RED,
6732,Open Park - Half Pipe,BLUE,
6734,Open Park - Ligne Débutants,BLUE,
